attack,skill,movement,power,mentality,defending,result
-2.255,1.127,-2.5,-0.855,-0.591,-2.582,-1.0
-0.6,0.7,-0.6,0.7,-0.5,-1.6,0.0
1.191,0.464,1.0,0.818,0.564,0.482,1.0
-0.736,0.464,-0.873,-0.436,0.645,0.2,1.0
0.5,0.1,0.5,0.9,-0.2,-0.9,-1.0
1.08,0.773,0.511,0.205,0.682,1.045,1.0
-0.442,-1.052,-1.714,-1.805,-1.935,-2.299,0.0
-1.1,0.2,-0.9,-0.4,-0.4,-1.5,-1.0
-1.01,0.192,0.263,0.909,-0.404,-0.364,0.0
1.236,-1.009,1.982,0.236,0.209,1.318,1.0
